,job_id,job_name,step_name,version
374,5780,20220803962,Promover en ADMS,JIDROBO.GIS20220803962_WO400482012_PO
375,5216,20220804251,Promover en ADMS,AORTIZJ.GIS20220804251_NWO
376,5238,20220804276,Promover en ADMS,AMVELEZ.GIS20220804276_WO400464347_PO
377,5785,20220804446,Finalizado,PLOAIZA.GIS20220804446_NWO
378,5247,20220804454,Promover en ADMS,JNGAVIRIA.GIS20220804454_WO400345518_PO
379,6434,20220804683, Publicar TQ en Productivo,EDELGADO.GIS20220804683_NWO
380,5781,20220803970,Promover en ADMS,MICARVAJAL.GIS20220803970_WO400482015_PO
381,5782,20220803989,Promover en ADMS,DAARBELAEZ.GIS20220803989_WO400482027_PO
382,5236,20220803830,Promover en ADMS,CMVALLEJO.GIS20220803830_WO400481911_PO
383,5237,20220803849,Finalizado,CMVALLEJO.GIS20220803849_NWO
384,5248,20220804462,Finalizado,JGARZONG.GIS20220804462_NWO
385,5468,20220804470,Finalizado,LIPUENTES.GIS20220804470_NWO_PO
386,6449,20220804705,Definir,.
387,5783,20220803997,Promover en ADMS,JIDROBO.GIS20220803997_WO400481907_PO
388,5461,20220804004,Promover en ADMS,DAARBELAEZ.GIS20220804004_WO400481908_PO
389,5239,20220804284,Promover en ADMS,CMVALLEJO.GIS20220804284_WO400465427_PO
390,5240,20220804292,Espera Confirmación ADMS,SPACOSTA.GIS20220804292_WO400482029_PO
391,5786,20220804489,Definir,.
392,5469,20220804497,Promover en ADMS,PLOAIZA.GIS20220804497_WO400474233_PO
393,6420,20220804667,Definir,.
394,6433,20220804675,Prediseño en StandBy,.
395,3937,20220802443, Enviar a ADMS,CMVALLEJO.GIS20220802443_NWO
396,3938,20220802451,Definir,.
397,5241,20220804314, Publicar TQ en Productivo,CAPEREZS.GIS20220804314_WO400481972_PO
398,5242,20220804322,Promover en ADMS,AMVELEZ.GIS20220804322_WO400482033_PO
399,4561,20220802842,Definir,.
400,5470,20220804500,Promover en ADMS,SPACOSTA.GIS20220804500_WO400474235_PO
401,6421,20220804691,Definir,.
402,6465,20220804713,Promover en ADMS,JIDROBO.GIS20220804713_NWO
403,6481,20220804721,Revisar Prediseño,.
404,3939,20220802486,Definir,.
405,3940,20220802575,Revisión TQ,AMVELEZ.GIS20220802575_WODI_PS_026_06_PO
406,5267,20220804071,Finalizado,JNGAVIRIA.GIS20220804071_NWO
407,5268,20220804098,Promover en ADMS,AMVELEZ.GIS20220804098_WO400482052_PO
408,5457,20220803725,Promover en ADMS,OCARDENAS.GIS20220803725_WO400462720_PO
409,6513,20220804756,Promover en ADMS,EDELGADO.GIS20220804756_WO400478590_PO
410,6529,20220804764,Espera Confirmación ADMS,DSEGURA.GIS20220804764_NWO
411,3941,20220802583,Promover en ADMS,DCHABURG.GIS20220802583_NWO
412,3942,20220802591,Finalizado,.
413,5269,20220804128,Revisión TQ,PSILVA.GIS20220804128_NWO
414,5471,20220804519,Promover en ADMS,HRRODRIGUEZS.GIS20220804519_WO400474237_PO
415,5787,20220804527,Promover en ADMS,PLOAIZA.GIS20220804527_WO400474242_PO
416,5163,20220803822,Finalizado,JMPARRA.GIS20220803822_NWO
417,5164,20220803857,Promover en ADMS,PSILVA.GIS20220803857_WO400482007_PO
418,4823,20220803326,Prediseño en StandBy,.
419,5784,20220804012,Promover en ADMS,PSILVA.GIS20220804012_WO400481909_PO
420,5270,20220804136,Definir,.
421,5271,20220804179,Finalizado,JGARZONG.GIS20220804179_NWO
422,5472,20220804535,Promover en ADMS,SPACOSTA.GIS20220804535_WO400474245_PO
423,5788,20220804543,Definir,.
424,5165,20220803865,Revisión TQ,JNGAVIRIA.GIS20220803865_WO400482018_PO
425,5462,20220804020,Promover en ADMS,AMVELEZ.GIS20220804020_WO400481912_PO
426,5272,20220804195,Promover en ADMS,CAPEREZS.GIS20220804195_WO400481928_PO
427,5273,20220804217,Finalizado,JMPARRA.GIS20220804217_NWO
428,5789,20220804551,Definir,.
429,5790,20220804561,Definir,.
430,5167,20220803881,Finalizado,CMVALLEJO.GIS20220803881_NWO
431,5168,20220803921,Promover en ADMS,AMVELEZ.GIS20220803921_WO400482023_PO
432,5463,20220804039,Promover en ADMS,JIDROBO.GIS20220804039_WO400482039_PO
433,5464,20220804047,Promover en ADMS,MICARVAJAL.GIS20220804047_NWO
434,5275,20220804268,Espera Confirmación ADMS,MHHERRERA.GIS20220804268_NWO
435,4178,20220802648,Espera Confirmación ADMS,OCARDENAS.GIS20220802648_WODI_RE_013_01_PO
436,4179,20220802672,Prediseño en StandBy,.
437,5309,20220803814,Editar Prediseño,.
438,5458,20220803891, Enviar a ADMS,DAARBELAEZ.GIS20220803891_NWO
439,5203,20220803636,Revisar Prediseño,.
440,5243,20220804330,Promover en ADMS,JIDROBO.GIS20220804330_WO400481982_PO
441,3891,20220802346,Definir,.
442,5459,20220803903,Definir,.
443,5460,20220803911,Promover en ADMS,CMVALLEJO.GIS20220803911_WO400482020_PO
444,5204,20220804055,Definir,.
445,5205,20220804063,Definir,.
446,5277,20220804349,Promover en ADMS,RVANEGASB.GIS20220804349_WO400482043_PO
447,5278,20220804357,Promover en ADMS,EDELGADO.GIS20220804357_WO400481986_PO
448,3892,20220802354,Definir,.
449,4180,20220802699,Espera Confirmación ADMS,HRRODRIGUEZS.GIS20220802699_WODI_PP_014_03_PO
450,4181,20220802702,Prediseño en StandBy,.
451,7089,20220805094,Promover en ADMS,EDELGADO.GIS20220805094_WO400471056_PO
